will_default_next_month,limit_bal,age,pay_0_months_delayed,pay_2_months_delayed,pay_3_months_delayed,pay_4_months_delayed,pay_5_months_delayed,pay_6_months_delayed,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,is_male,education_graduate,education_bachelors,education_hs,martial_status_married,martial_status_single,martial_status_other,pay_0_is_paid_duly,pay_0_was_refunded,pay_2_is_paid_duly,pay_2_was_refunded,pay_3_is_paid_duly,pay_3_was_refunded,pay_4_is_paid_duly,pay_4_was_refunded,pay_5_is_paid_duly,pay_5_was_refunded,pay_6_is_paid_duly,pay_6_was_refunded
0,2620,31,0,0,0,0,0,0,30,0,10,10,10,10,0,10,10,10,10,10,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,10500,29,2,2,2,2,2,2,1910,1940,1970,1920,2040,2080,80,80,0,160,80,50,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6560,32,0,0,0,0,2,0,300,190,-20,170,130,100,190,0,300,0,100,50,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,9510,37,1,0,0,0,0,0,0,0,100,0,80,0,0,100,0,80,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0
0,11150,32,0,0,0,0,0,0,100,180,770,140,2630,850,190,770,140,2640,850,70,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,660,24,0,0,2,0,0,0,480,560,550,560,570,610,90,0,20,20,50,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1640,25,0,0,0,0,0,0,1410,1220,1180,320,310,330,60,60,10,20,30,30,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,9840,45,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
1,980,22,0,0,0,0,0,0,930,970,990,920,870,210,60,50,20,100,60,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7870,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1
0,15420,33,0,0,0,0,0,0,5420,5180,5340,2290,960,980,210,250,100,30,30,100,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,11810,26,0,0,0,0,0,0,770,910,1000,1090,5910,10,160,110,100,4820,10,100,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1970,30,0,0,0,0,0,0,860,900,920,720,650,650,50,40,20,30,40,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13120,44,0,0,2,0,0,0,4320,4560,4160,3430,3440,3090,350,0,100,100,100,90,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1640,49,0,0,0,0,0,0,1600,1570,710,670,630,640,50,40,20,20,30,30,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5250,33,0,0,0,0,0,0,4270,3540,2360,3890,3880,3950,140,120,2620,150,160,150,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11810,45,0,0,2,0,0,0,10,40,30,10,10,10,40,0,0,10,10,10,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
0,5250,32,0,0,0,0,0,0,130,160,220,280,230,30,40,70,70,0,30,80,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,4270,35,0,0,0,0,0,0,2670,3870,580,40,230,40,1310,160,40,230,40,70,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
0,660,44,2,2,0,0,0,2,280,270,320,340,400,390,0,50,30,70,0,50,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6560,53,2,2,2,2,2,2,4530,4620,4670,4730,4830,4910,210,180,180,180,160,160,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9190,39,0,0,0,0,0,0,250,0,130,130,0,0,0,130,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,3280,27,0,0,0,0,0,0,-70,180,0,0,0,0,250,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,5250,37,0,0,0,0,0,0,30,50,30,30,0,0,50,30,30,0,0,250,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1
0,1970,23,0,0,0,0,0,0,1500,1540,1550,640,630,630,60,40,20,20,30,30,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2950,35,0,0,0,0,0,0,2750,2820,2880,1170,1020,1010,120,120,40,40,40,40,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11810,43,0,0,0,0,0,0,130,270,110,210,870,330,270,110,420,890,0,2260,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0
0,4920,27,0,0,0,0,0,0,2820,2830,2920,2950,2880,1340,130,330,110,130,60,30,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1640,22,0,0,0,0,0,0,610,600,560,430,290,260,50,40,10,10,10,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,660,38,0,0,0,0,0,0,590,640,640,600,590,0,60,50,20,60,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,4590,32,0,0,0,0,0,0,20,340,30,10,0,50,340,30,10,0,50,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,12470,30,0,0,0,0,0,0,0,-10,1070,1080,1100,1120,10,1090,40,40,40,160,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
0,15750,63,0,0,0,2,2,0,13850,14150,15730,15980,15460,15420,530,1830,560,0,590,790,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1640,22,0,0,0,0,0,0,1470,1390,1260,1070,770,790,60,40,30,30,30,30,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1970,26,2,2,2,2,2,0,1860,1810,1940,1980,1820,1810,0,160,80,0,100,100,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2300,24,0,0,0,0,0,0,180,0,0,0,0,870,0,0,0,0,870,70,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0
0,2620,36,0,0,0,0,0,0,200,90,110,110,40,40,90,110,110,40,40,30,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
0,11480,52,0,0,0,0,0,0,20,70,20,30,40,170,70,20,30,40,170,160,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,4270,38,0,0,0,0,0,0,5620,5850,1310,3950,1450,4150,360,0,4390,150,4390,160,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
0,11810,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1
0,10830,31,0,0,2,0,0,0,3470,3560,3460,3470,3490,3520,300,0,120,130,520,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1640,47,0,0,2,0,0,0,430,480,500,520,550,570,70,30,30,30,30,30,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9190,41,2,2,2,2,2,3,4450,4550,4420,4740,4990,4900,210,0,470,490,0,160,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3280,24,0,0,0,0,0,0,1710,1730,1790,1840,1970,1960,70,90,100,170,100,70,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1640,41,0,0,0,0,0,0,620,630,660,670,670,650,40,40,20,20,20,20,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,980,24,0,2,0,0,3,2,600,580,610,700,680,700,0,40,100,0,30,30,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,7870,28,0,0,0,0,0,0,10,10,10,190,20,10,10,10,190,20,10,20,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,2620,26,2,0,0,0,0,0,460,510,550,560,580,600,70,60,30,30,30,30,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13120,34,0,0,0,0,0,0,650,320,390,260,490,260,320,390,260,490,260,190,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
0,7870,38,0,0,0,0,0,0,1650,1690,1740,1720,40,40,70,100,100,40,40,20,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,1640,37,2,2,2,3,2,2,1510,1510,1610,1600,1620,1680,30,130,30,50,90,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14760,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1
0,3610,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,10170,35,2,0,0,0,0,0,10010,10210,10050,8480,8090,6530,430,370,280,280,220,200,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,660,27,0,0,0,0,0,0,630,620,630,640,650,510,50,40,20,30,10,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,660,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1
0,6560,52,0,0,0,0,0,0,3610,3270,3250,3310,3380,3440,120,120,120,130,120,120,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5910,36,0,0,0,0,0,0,5370,3820,3260,3140,3210,3150,150,90,70,70,70,30,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1640,51,0,0,0,0,0,0,110,130,150,180,210,230,30,30,40,50,40,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1970,55,3,2,2,0,0,0,1990,2020,1880,950,970,870,80,0,40,40,40,50,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,980,23,1,0,0,0,0,0,130,190,120,0,450,190,190,120,0,450,190,100,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0
0,7870,41,1,0,0,0,0,0,0,90,110,100,10,60,90,110,0,10,60,30,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
0,13780,34,0,0,0,0,0,0,8320,8130,7510,7250,6910,6170,320,310,250,260,240,370,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10830,46,0,0,0,0,0,0,7460,7500,7530,7470,7470,7490,270,270,260,270,280,270,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,980,22,0,0,0,0,0,0,930,860,880,830,580,-30,70,50,0,20,0,50,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7870,34,0,0,0,2,2,2,350,390,450,440,460,460,50,60,0,30,0,10,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4920,27,0,0,0,0,0,0,570,630,720,810,890,990,80,100,100,100,110,160,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6890,33,0,0,0,0,0,0,240,260,290,300,140,190,50,50,30,20,70,20,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1640,51,0,0,0,0,0,0,20,10,190,0,0,0,10,190,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1
0,1640,24,0,0,0,0,0,0,1670,1650,1630,640,640,620,80,60,30,30,30,70,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7870,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1
0,5910,28,0,0,0,0,0,0,60,0,30,10,10,10,0,10,10,20,110,30,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,1640,23,1,2,2,2,0,0,330,360,680,660,650,590,30,330,10,20,30,20,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5580,29,0,0,0,0,0,0,400,330,330,330,330,520,330,330,330,330,520,330,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
0,660,29,0,0,0,0,0,0,40,510,10,80,220,10,510,10,80,150,10,10,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,1640,28,0,0,0,0,0,3,160,190,240,300,350,330,30,50,70,50,40,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5580,27,0,0,0,0,0,0,630,670,680,580,590,300,50,40,10,10,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6560,34,1,2,0,0,0,0,6470,5780,3050,4450,4340,1960,260,160,1820,160,160,280,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2620,23,1,2,3,2,0,0,300,350,330,320,330,390,50,0,0,10,70,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8530,60,1,0,0,0,0,0,-40,-40,700,0,30,30,0,740,0,30,30,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0
0,4590,32,0,0,0,0,2,0,2840,2560,2240,2120,1910,1810,110,100,160,0,70,90,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2620,25,0,0,0,0,0,0,1390,1830,1430,1350,1380,1040,980,100,200,260,70,460,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11480,41,1,0,0,0,0,0,10,100,30,20,0,0,100,30,20,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1
0,9190,56,0,0,0,0,0,0,6850,5980,4340,3340,5810,5550,260,220,170,3280,230,210,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,980,26,0,0,0,0,0,0,300,340,370,390,430,470,60,50,30,50,50,50,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4590,34,0,0,0,0,0,0,790,920,1050,1410,1540,1600,160,160,390,160,100,180,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6560,37,0,0,0,0,0,0,3460,3380,2940,2980,3030,3090,130,110,110,110,120,160,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6560,30,0,0,0,0,0,0,6430,6440,6220,5480,4820,4010,240,230,250,200,160,150,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6890,45,2,3,4,4,5,6,3800,4030,4260,4500,4770,5060,340,340,360,360,380,340,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1640,57,3,2,0,0,0,0,420,410,440,440,450,460,0,50,20,20,20,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
