NotSeriousDlqin2yrs,age,NumberOfDependents,HasHistoryOfLatePayment,HistoricalDebtRatioInLastYear,MaxMonthlyOpenLinesOfCreditGeq5,MaxUtilizationOfUnsecuredLinesGeq10K,MaxMonthlyIncomeGeq5K
1.0,40.0,3.0,0.0,0.034847816000000004,1.0,0.0,1.0
1.0,50.0,1.0,1.0,0.7265669929999999,1.0,0.0,0.0
-1.0,47.0,1.0,1.0,1.104301274,1.0,0.0,1.0
1.0,63.0,2.0,0.0,0.6108412670000001,1.0,0.0,1.0
1.0,42.0,0.0,0.0,0.593899089,1.0,0.0,1.0
1.0,54.0,0.0,1.0,3.382196162,1.0,0.0,0.0
1.0,29.0,2.0,0.0,639.5,0.0,0.0,0.0
1.0,36.0,0.0,0.0,0.138461538,1.0,0.0,1.0
1.0,33.0,0.0,0.0,0.8524295140000001,1.0,0.0,1.0
1.0,72.0,0.0,0.0,0.089091313,0.0,0.0,0.0
1.0,53.0,3.0,0.0,0.5436259489999999,1.0,0.0,1.0
1.0,79.0,0.0,0.0,0.365151154,1.0,0.0,0.0
1.0,58.0,2.0,0.0,0.342005076,1.0,0.0,1.0
1.0,69.0,1.0,0.0,0.330733853,1.0,0.0,1.0
1.0,69.0,3.0,1.0,0.005319149,0.0,0.0,0.0
1.0,75.0,0.0,0.0,0.010927876,1.0,0.0,1.0
1.0,41.0,0.0,0.0,0.907538526,1.0,0.0,0.0
1.0,46.0,1.0,0.0,0.667835346,1.0,0.0,1.0
1.0,55.0,0.0,1.0,0.436665827,1.0,0.0,0.0
-1.0,51.0,0.0,0.0,0.477503628,1.0,0.0,1.0
-1.0,25.0,0.0,1.0,0.152896812,0.0,0.0,0.0
-1.0,44.0,1.0,1.0,0.291709578,1.0,0.0,0.0
1.0,56.0,0.0,0.0,0.438912218,1.0,0.0,1.0
1.0,55.0,3.0,0.0,0.47090194,1.0,0.0,1.0
1.0,64.0,0.0,0.0,0.332016389,1.0,0.0,1.0
1.0,53.0,0.0,1.0,0.536703799,1.0,0.0,0.0
1.0,55.0,4.0,0.0,0.156259612,1.0,0.0,0.0
1.0,80.0,0.0,1.0,0.016196761,1.0,0.0,1.0
-1.0,38.0,2.0,0.0,74.5,1.0,0.0,0.0
1.0,44.0,3.0,1.0,0.224465502,1.0,0.0,1.0
1.0,40.0,0.0,0.0,0.119660709,1.0,0.0,0.0
1.0,69.0,0.0,0.0,0.308438695,1.0,0.0,0.0
1.0,64.0,0.0,0.0,0.181311286,1.0,0.0,1.0
1.0,61.0,2.0,0.0,0.269281443,1.0,0.0,1.0
1.0,46.0,4.0,0.0,0.166215372,1.0,0.0,0.0
1.0,49.0,0.0,0.0,0.429533892,1.0,0.0,1.0
1.0,64.0,0.0,0.0,0.17386957,1.0,0.0,1.0
1.0,40.0,2.0,0.0,0.443755624,1.0,0.0,1.0
1.0,27.0,0.0,0.0,0.024340075,0.0,0.0,1.0
1.0,92.0,0.0,1.0,0.034326669,1.0,0.0,0.0
1.0,50.0,0.0,0.0,0.420180551,1.0,0.0,1.0
1.0,66.0,0.0,1.0,0.358101135,0.0,0.0,0.0
1.0,53.0,2.0,0.0,0.183464028,1.0,0.0,1.0
1.0,62.0,0.0,0.0,0.04965839,0.0,0.0,1.0
1.0,61.0,0.0,0.0,0.031349387,1.0,0.0,0.0
1.0,42.0,2.0,0.0,800.0,0.0,0.0,0.0
1.0,63.0,0.0,0.0,0.332698534,1.0,0.0,1.0
1.0,73.0,0.0,1.0,0.13558915300000002,1.0,0.0,0.0
1.0,72.0,0.0,0.0,0.04578345,0.0,0.0,1.0
1.0,52.0,0.0,1.0,0.7001533740000001,1.0,0.0,1.0
1.0,45.0,2.0,0.0,0.376836435,1.0,0.0,1.0
1.0,44.0,0.0,0.0,0.296854804,1.0,0.0,1.0
1.0,63.0,0.0,1.0,0.701766078,1.0,0.0,1.0
1.0,37.0,0.0,0.0,0.322446259,1.0,0.0,1.0
-1.0,38.0,2.0,0.0,0.153500141,1.0,0.0,0.0
1.0,36.0,1.0,0.0,0.56071964,1.0,0.0,0.0
1.0,41.0,2.0,0.0,0.436025621,1.0,0.0,1.0
1.0,63.0,0.0,1.0,0.262773723,1.0,0.0,1.0
1.0,76.0,0.0,0.0,0.002465931,0.0,0.0,1.0
1.0,43.0,0.0,0.0,0.5374855820000001,1.0,0.0,0.0
1.0,64.0,0.0,0.0,0.588073078,1.0,0.0,0.0
1.0,67.0,0.0,0.0,0.460246187,1.0,0.0,1.0
1.0,52.0,1.0,0.0,0.353860086,1.0,0.0,0.0
1.0,55.0,0.0,0.0,0.476704659,1.0,0.0,1.0
1.0,42.0,2.0,0.0,0.578676723,1.0,0.0,1.0
1.0,47.0,1.0,0.0,0.283765445,1.0,0.0,1.0
-1.0,61.0,1.0,1.0,0.209961825,1.0,0.0,1.0
1.0,73.0,0.0,0.0,0.000285687,1.0,0.0,1.0
1.0,68.0,0.0,0.0,0.040493251,0.0,0.0,1.0
1.0,41.0,0.0,0.0,0.20364404,0.0,0.0,1.0
1.0,44.0,0.0,1.0,0.14041952,1.0,0.0,1.0
1.0,42.0,4.0,0.0,0.458551158,1.0,0.0,1.0
1.0,40.0,2.0,0.0,0.359964004,1.0,0.0,1.0
1.0,78.0,0.0,0.0,0.008886914000000001,1.0,0.0,0.0
1.0,81.0,0.0,0.0,0.165566887,0.0,0.0,0.0
1.0,49.0,0.0,0.0,0.257017809,1.0,0.0,1.0
-1.0,58.0,0.0,1.0,0.151956584,1.0,0.0,0.0
1.0,54.0,2.0,0.0,0.092913547,1.0,0.0,1.0
1.0,33.0,0.0,1.0,0.05832286900000001,1.0,0.0,1.0
1.0,53.0,5.0,0.0,0.266909775,1.0,0.0,1.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,49.0,1.0,1.0,0.123125125,1.0,0.0,1.0
1.0,44.0,2.0,0.0,0.278077082,1.0,0.0,0.0
1.0,63.0,0.0,0.0,0.007988921999999999,1.0,0.0,1.0
1.0,65.0,1.0,0.0,0.125189985,1.0,0.0,1.0
1.0,28.0,0.0,0.0,0.037259615,1.0,0.0,0.0
1.0,66.0,0.0,0.0,1.117952819,1.0,0.0,0.0
1.0,32.0,2.0,0.0,0.264078812,1.0,0.0,1.0
1.0,43.0,1.0,1.0,0.009691169,1.0,0.0,1.0
1.0,59.0,1.0,0.0,0.637607437,1.0,0.0,1.0
1.0,76.0,0.0,0.0,0.267149259,1.0,0.0,0.0
1.0,68.0,0.0,0.0,0.094140517,1.0,0.0,0.0
1.0,61.0,0.0,0.0,0.529548989,0.0,0.0,0.0
1.0,68.0,1.0,0.0,0.175139978,1.0,0.0,0.0
1.0,57.0,1.0,0.0,0.130453416,1.0,0.0,1.0
1.0,68.0,2.0,0.0,0.445277361,1.0,0.0,0.0
1.0,57.0,3.0,0.0,0.205927884,1.0,0.0,1.0
-1.0,46.0,0.0,1.0,0.637749121,1.0,0.0,0.0
1.0,69.0,0.0,0.0,0.389895596,0.0,0.0,1.0
1.0,44.0,1.0,0.0,0.32638368100000004,1.0,0.0,1.0
1.0,28.0,0.0,0.0,0.139429485,1.0,0.0,0.0
1.0,53.0,1.0,1.0,0.5956539129999999,1.0,0.0,1.0
1.0,40.0,0.0,0.0,0.178184282,1.0,0.0,1.0
1.0,36.0,1.0,1.0,0.554878049,1.0,0.0,1.0
1.0,42.0,1.0,0.0,0.272721679,1.0,0.0,1.0
1.0,64.0,0.0,0.0,0.307576329,1.0,0.0,0.0
1.0,62.0,1.0,0.0,0.26287915300000003,1.0,0.0,1.0
1.0,47.0,0.0,1.0,0.092163472,0.0,0.0,1.0
1.0,62.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,49.0,3.0,0.0,0.347930414,1.0,0.0,1.0
1.0,66.0,0.0,0.0,0.28446242,1.0,0.0,1.0
1.0,54.0,2.0,0.0,0.7056277059999999,1.0,0.0,1.0
1.0,83.0,0.0,0.0,0.6895897559999999,1.0,0.0,0.0
1.0,45.0,2.0,0.0,0.339332853,1.0,0.0,1.0
1.0,29.0,3.0,0.0,0.53628857,1.0,0.0,0.0
1.0,67.0,0.0,0.0,0.083799311,1.0,0.0,1.0
1.0,29.0,0.0,1.0,0.24651504,1.0,0.0,0.0
1.0,46.0,4.0,1.0,0.282830201,1.0,0.0,1.0
1.0,25.0,0.0,0.0,1005.0,1.0,0.0,0.0
1.0,68.0,0.0,0.0,0.7878030490000001,1.0,0.0,0.0
1.0,33.0,1.0,0.0,0.537441339,0.0,0.0,0.0
1.0,55.0,0.0,1.0,0.03988553,1.0,0.0,1.0
1.0,46.0,3.0,0.0,0.271186441,1.0,0.0,1.0
1.0,66.0,1.0,0.0,0.046633910999999986,0.0,0.0,1.0
1.0,66.0,0.0,1.0,0.391427671,1.0,0.0,0.0
1.0,48.0,0.0,0.0,0.07584830299999999,0.0,0.0,0.0
1.0,52.0,4.0,0.0,0.408871921,1.0,0.0,1.0
1.0,32.0,0.0,1.0,0.166766647,1.0,0.0,1.0
1.0,51.0,2.0,0.0,0.066830086,1.0,0.0,1.0
1.0,27.0,0.0,0.0,0.144948404,1.0,0.0,0.0
1.0,32.0,0.0,1.0,0.463610776,1.0,0.0,1.0
1.0,30.0,0.0,0.0,0.13657561599999998,1.0,0.0,0.0
1.0,37.0,3.0,0.0,0.329935275,1.0,0.0,1.0
1.0,49.0,1.0,0.0,0.042836573,1.0,0.0,1.0
1.0,37.0,5.0,0.0,0.184027338,1.0,0.0,1.0
1.0,36.0,0.0,1.0,0.632794037,1.0,0.0,1.0
1.0,62.0,0.0,1.0,0.406053995,1.0,0.0,0.0
1.0,57.0,1.0,0.0,0.043744532,0.0,0.0,1.0
1.0,59.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,38.0,4.0,1.0,0.472542946,1.0,0.0,0.0
1.0,37.0,0.0,0.0,0.288477299,1.0,0.0,1.0
1.0,63.0,0.0,0.0,0.7502008029999999,1.0,0.0,0.0
1.0,32.0,0.0,0.0,1.247340213,1.0,0.0,1.0
1.0,52.0,1.0,0.0,0.483518065,1.0,0.0,1.0
1.0,43.0,2.0,0.0,4211.0,1.0,0.0,0.0
1.0,29.0,0.0,1.0,0.168340507,0.0,0.0,0.0
1.0,45.0,2.0,1.0,0.318890815,1.0,0.0,1.0
1.0,38.0,1.0,0.0,0.7124587459999999,1.0,0.0,0.0
1.0,62.0,0.0,0.0,0.249471161,1.0,0.0,1.0
1.0,41.0,2.0,0.0,0.408706353,1.0,0.0,1.0
1.0,29.0,0.0,0.0,0.193935355,1.0,0.0,0.0
-1.0,47.0,3.0,0.0,0.03975841,1.0,0.0,1.0
1.0,55.0,1.0,1.0,0.388320836,1.0,0.0,0.0
1.0,87.0,0.0,0.0,0.001534331,0.0,0.0,1.0
1.0,41.0,0.0,0.0,0.199761673,1.0,0.0,1.0
1.0,61.0,0.0,0.0,1.3949671769999998,1.0,0.0,0.0
1.0,28.0,1.0,0.0,0.189702574,1.0,0.0,0.0
1.0,43.0,4.0,0.0,0.5722921910000001,1.0,0.0,0.0
1.0,71.0,1.0,0.0,0.4264124620000001,1.0,0.0,0.0
1.0,46.0,2.0,0.0,0.072914726,1.0,0.0,1.0
1.0,30.0,0.0,0.0,0.090341011,0.0,0.0,1.0
-1.0,43.0,1.0,0.0,0.461323764,1.0,0.0,1.0
1.0,59.0,1.0,0.0,0.381254316,1.0,0.0,1.0
1.0,72.0,0.0,0.0,0.35667928600000004,1.0,0.0,0.0
1.0,50.0,1.0,0.0,0.45722203,1.0,0.0,1.0
-1.0,68.0,0.0,1.0,0.218071277,1.0,0.0,1.0
1.0,69.0,0.0,1.0,0.193935355,1.0,0.0,0.0
1.0,37.0,1.0,0.0,0.184625639,0.0,0.0,0.0
1.0,38.0,0.0,0.0,0.563328034,0.0,0.0,0.0
1.0,59.0,0.0,0.0,0.033982276,1.0,0.0,1.0
1.0,67.0,0.0,0.0,0.119463561,1.0,0.0,1.0
1.0,30.0,2.0,0.0,0.698120752,1.0,0.0,0.0
1.0,56.0,1.0,0.0,0.170164956,1.0,0.0,1.0
1.0,51.0,2.0,0.0,0.333583302,1.0,0.0,1.0
1.0,28.0,0.0,0.0,0.467171717,0.0,0.0,0.0
1.0,54.0,2.0,0.0,0.017655818,1.0,0.0,0.0
1.0,35.0,3.0,1.0,0.314566116,1.0,0.0,0.0
1.0,79.0,0.0,0.0,0.009596162,1.0,0.0,0.0
1.0,46.0,3.0,0.0,0.267146571,1.0,0.0,1.0
1.0,64.0,1.0,0.0,0.214426305,1.0,0.0,1.0
1.0,74.0,0.0,0.0,0.164917541,0.0,0.0,0.0
1.0,64.0,0.0,0.0,0.101514142,1.0,0.0,1.0
1.0,63.0,0.0,0.0,0.387956894,1.0,0.0,1.0
-1.0,63.0,1.0,1.0,0.285156885,1.0,0.0,1.0
1.0,54.0,1.0,0.0,0.655589124,1.0,0.0,0.0
1.0,63.0,3.0,0.0,0.278226307,1.0,0.0,1.0
1.0,45.0,3.0,0.0,0.290229092,1.0,0.0,1.0
1.0,57.0,0.0,0.0,0.13080895,1.0,0.0,1.0
1.0,43.0,1.0,0.0,0.10821382,1.0,0.0,0.0
1.0,61.0,0.0,0.0,0.008549573000000001,1.0,0.0,1.0
1.0,60.0,0.0,0.0,2.086478612,1.0,0.0,1.0
1.0,34.0,0.0,1.0,0.007495315,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,76.0,0.0,0.0,0.285452994,1.0,0.0,1.0
1.0,76.0,2.0,0.0,0.070513488,1.0,0.0,1.0
1.0,39.0,2.0,0.0,0.188281635,1.0,0.0,1.0
1.0,63.0,1.0,0.0,0.582162622,1.0,0.0,0.0
1.0,52.0,0.0,0.0,0.414081023,1.0,0.0,1.0
1.0,42.0,2.0,1.0,0.113421853,0.0,0.0,1.0
1.0,63.0,0.0,0.0,926.5,1.0,0.0,0.0
1.0,58.0,2.0,0.0,0.115826132,1.0,0.0,1.0
1.0,62.0,0.0,0.0,0.073772011,1.0,0.0,1.0
1.0,46.0,2.0,1.0,1.206516118,1.0,0.0,1.0
1.0,27.0,0.0,0.0,0.000268637,1.0,0.0,1.0
1.0,27.0,1.0,0.0,0.352214765,1.0,0.0,0.0
1.0,35.0,3.0,1.0,0.092985318,0.0,0.0,0.0
1.0,55.0,0.0,0.0,0.437996083,1.0,0.0,1.0
1.0,73.0,0.0,0.0,0.043259135,1.0,0.0,1.0
1.0,51.0,0.0,0.0,0.492529978,1.0,0.0,1.0
1.0,36.0,2.0,0.0,0.34487992100000003,1.0,0.0,1.0
1.0,56.0,1.0,0.0,0.259102536,1.0,0.0,1.0
1.0,64.0,1.0,0.0,0.255290785,1.0,0.0,1.0
1.0,56.0,0.0,0.0,0.131430952,1.0,0.0,0.0
1.0,37.0,0.0,0.0,0.045366363,1.0,0.0,1.0
1.0,48.0,1.0,0.0,1.299736021,1.0,0.0,0.0
1.0,36.0,0.0,0.0,0.334245422,1.0,0.0,0.0
-1.0,49.0,2.0,1.0,0.369223765,1.0,0.0,1.0
1.0,57.0,0.0,0.0,2221.5,1.0,0.0,0.0
1.0,39.0,1.0,0.0,0.644706486,1.0,0.0,0.0
-1.0,61.0,1.0,1.0,1.2979007,1.0,0.0,0.0
1.0,38.0,2.0,0.0,0.41627543,1.0,0.0,1.0
1.0,24.0,0.0,0.0,0.035803497000000004,0.0,0.0,0.0
1.0,73.0,0.0,0.0,0.386728192,1.0,0.0,0.0
1.0,79.0,0.0,0.0,0.130140954,1.0,0.0,1.0
1.0,81.0,1.0,0.0,0.000822143,0.0,0.0,0.0
1.0,55.0,0.0,0.0,0.7251374309999999,1.0,0.0,0.0
1.0,57.0,2.0,1.0,0.16069592,1.0,0.0,1.0
1.0,58.0,1.0,0.0,0.518991188,1.0,0.0,0.0
1.0,52.0,0.0,0.0,0.0032786890000000004,0.0,0.0,0.0
1.0,51.0,2.0,0.0,0.446688128,1.0,0.0,1.0
1.0,63.0,0.0,1.0,0.41905226,1.0,0.0,1.0
1.0,41.0,0.0,0.0,0.686736475,1.0,0.0,0.0
1.0,43.0,2.0,1.0,0.603763294,1.0,0.0,0.0
1.0,40.0,0.0,0.0,0.207789429,1.0,0.0,1.0
1.0,74.0,0.0,0.0,0.306409131,1.0,0.0,0.0
1.0,49.0,0.0,0.0,0.358153388,1.0,0.0,1.0
1.0,68.0,0.0,0.0,0.209965006,1.0,0.0,1.0
1.0,57.0,0.0,0.0,0.785229953,1.0,0.0,1.0
1.0,48.0,6.0,0.0,0.179979778,1.0,0.0,1.0
1.0,40.0,2.0,1.0,0.19170579,0.0,0.0,0.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,52.0,2.0,0.0,0.013543599,1.0,0.0,1.0
1.0,55.0,0.0,0.0,0.454057468,1.0,0.0,0.0
1.0,61.0,0.0,1.0,0.671076012,1.0,0.0,1.0
1.0,33.0,0.0,0.0,0.114004783,1.0,0.0,0.0
1.0,69.0,0.0,0.0,0.065493451,1.0,0.0,1.0
1.0,39.0,0.0,0.0,0.432010059,1.0,0.0,1.0
1.0,84.0,0.0,0.0,0.00912845,1.0,0.0,0.0
1.0,32.0,0.0,1.0,0.095584668,0.0,0.0,0.0
1.0,61.0,2.0,0.0,0.229436075,1.0,0.0,1.0
1.0,37.0,3.0,0.0,0.177007047,1.0,0.0,1.0
1.0,33.0,1.0,1.0,0.257707218,0.0,0.0,1.0
1.0,81.0,0.0,0.0,0.145685279,1.0,0.0,0.0
1.0,60.0,2.0,0.0,0.566105156,1.0,0.0,0.0
1.0,46.0,3.0,0.0,0.394460554,1.0,0.0,1.0
1.0,57.0,0.0,0.0,0.053530225999999986,1.0,0.0,1.0
1.0,57.0,0.0,0.0,0.130309575,1.0,0.0,1.0
-1.0,32.0,3.0,0.0,0.006731051,0.0,0.0,0.0
-1.0,42.0,0.0,0.0,0.594224361,1.0,0.0,0.0
1.0,38.0,0.0,1.0,0.384761524,1.0,0.0,1.0
1.0,82.0,0.0,0.0,0.176964607,0.0,0.0,1.0
1.0,33.0,0.0,0.0,0.216405216,1.0,0.0,1.0
