NotSeriousDlqin2yrs,Age,NumberOfDependents,DebtRatio,MonthlyIncome,CreditLineUtilization,NumberRealEstateLoansOrLines,NumberOfOpenCreditLinesAndLoans,HistoryOfLatePayment,HistoryOfLatePaymentInPast2Years,HistoryOfDelinquency,HistoryOfDelinquencyInPast2Years
1.0,60.0,0.0,0.412979783,6825.0,0.012682366,2.0,20.0,False,False,False,False
1.0,58.0,4.0,0.342971419,12000.0,0.121557062,2.0,23.0,False,False,False,False
1.0,49.0,0.0,0.801999355,3100.0,0.040795358,1.0,11.0,False,False,False,False
1.0,40.0,3.0,0.034847816,6800.0,0.147712223,0.0,6.0,False,False,False,False
1.0,50.0,1.0,0.726566993,3477.0,0.0,1.0,5.0,True,True,False,False
-1.0,47.0,1.0,1.104301274,5416.0,1.046279103,2.0,6.0,True,True,False,False
1.0,63.0,2.0,0.610841267,5146.0,0.323719804,2.0,9.0,False,False,False,False
1.0,42.0,0.0,0.593899089,6916.0,0.36459777,3.0,7.0,False,False,False,False
1.0,54.0,0.0,3.382196162,1875.0,0.637736406,2.0,9.0,True,True,False,False
1.0,29.0,2.0,639.5,1.0,0.020966389,1.0,3.0,False,False,False,False
1.0,36.0,0.0,0.138461538,7734.0,0.170103002,0.0,8.0,False,False,False,False
1.0,33.0,0.0,0.852429514,5000.0,0.771845631,3.0,7.0,False,False,False,False
1.0,72.0,0.0,0.089091313,4500.0,0.05538241,0.0,4.0,False,False,False,False
1.0,53.0,3.0,0.543625949,7506.0,0.16653274,3.0,11.0,False,False,False,False
1.0,79.0,0.0,0.365151154,4200.0,0.008632035,1.0,9.0,False,False,False,False
1.0,58.0,2.0,0.342005076,9455.0,0.13527952,2.0,11.0,False,False,False,False
1.0,69.0,1.0,0.330733853,5000.0,0.167571389,1.0,10.0,False,False,False,False
1.0,69.0,3.0,0.005319149,2255.0,0.9999999,0.0,0.0,False,False,True,True
1.0,75.0,0.0,0.010927876,10065.0,0.068335151,0.0,9.0,False,False,False,False
1.0,41.0,0.0,0.907538526,2400.0,0.0,1.0,6.0,False,False,False,False
1.0,46.0,1.0,0.667835346,7700.0,0.405183973,2.0,22.0,False,False,False,False
1.0,55.0,0.0,0.436665827,3970.0,0.676195456,1.0,10.0,False,False,True,True
-1.0,51.0,0.0,0.477503628,6200.0,0.085338293,1.0,11.0,False,False,False,False
-1.0,25.0,0.0,0.152896812,2916.0,0.0,0.0,3.0,True,True,False,False
-1.0,44.0,1.0,0.291709578,3883.0,0.786485406,0.0,7.0,True,True,True,True
1.0,56.0,0.0,0.438912218,5000.0,0.03833451,2.0,7.0,False,False,False,False
1.0,55.0,3.0,0.47090194,15000.0,0.714980139,2.0,12.0,False,False,False,False
1.0,64.0,0.0,0.332016389,6833.0,0.043032042,2.0,14.0,False,False,False,False
1.0,53.0,0.0,0.536703799,3500.0,1.095083357,1.0,7.0,True,True,True,True
1.0,55.0,4.0,0.156259612,3250.0,0.9999999,0.0,5.0,False,False,False,False
1.0,80.0,0.0,0.016196761,5000.0,0.101430135,0.0,9.0,True,True,False,False
-1.0,38.0,2.0,74.5,1.0,0.025892469,0.0,13.0,False,False,False,False
1.0,44.0,3.0,0.224465502,21000.0,0.762158561,1.0,5.0,True,True,False,False
1.0,40.0,0.0,0.119660709,3300.0,0.231692268,0.0,7.0,False,False,False,False
1.0,69.0,0.0,0.308438695,3400.0,0.035489848,1.0,9.0,False,False,False,False
1.0,64.0,0.0,0.181311286,5200.0,0.045423864,1.0,4.0,False,False,False,False
1.0,61.0,2.0,0.269281443,9866.0,0.311954668,2.0,12.0,False,False,False,False
1.0,46.0,4.0,0.166215372,4800.0,0.078738916,1.0,6.0,False,False,False,False
1.0,49.0,0.0,0.429533892,7272.0,0.137609462,2.0,11.0,False,False,False,False
1.0,64.0,0.0,0.17386957,9000.0,0.030173038,1.0,8.0,False,False,False,False
1.0,40.0,2.0,0.443755624,10000.0,0.021978375,5.0,12.0,False,False,False,False
1.0,27.0,0.0,0.024340075,5833.0,0.443696851,0.0,4.0,False,False,False,False
1.0,92.0,0.0,0.034326669,2650.0,0.046640328,0.0,13.0,True,True,False,False
1.0,50.0,0.0,0.420180551,8750.0,0.292365949,2.0,8.0,False,False,False,False
1.0,66.0,0.0,0.358101135,1937.0,0.9999999,0.0,4.0,True,True,True,True
1.0,53.0,2.0,0.183464028,19000.0,0.013500824,1.0,8.0,False,False,False,False
1.0,62.0,0.0,0.04965839,6000.0,0.9999999,0.0,1.0,False,False,False,False
1.0,61.0,0.0,0.031349387,2200.0,0.028113957,0.0,12.0,False,False,False,False
1.0,42.0,2.0,800.0,1.0,0.222696207,1.0,3.0,False,False,False,False
1.0,63.0,0.0,0.332698534,5250.0,0.593985244,2.0,4.0,False,False,False,False
1.0,73.0,0.0,0.135589153,4166.0,0.017508178,1.0,12.0,True,True,False,False
1.0,72.0,0.0,0.04578345,7600.0,0.611865678,1.0,3.0,False,False,False,False
1.0,52.0,0.0,0.700153374,5215.0,0.333060631,2.0,15.0,True,True,False,False
1.0,45.0,2.0,0.376836435,8167.0,0.009025178,1.0,4.0,False,False,False,False
1.0,44.0,0.0,0.296854804,6962.0,0.260271523,1.0,11.0,False,False,False,False
1.0,63.0,0.0,0.701766078,6001.0,0.455950788,2.0,19.0,True,True,False,False
1.0,37.0,0.0,0.322446259,6000.0,0.080288098,1.0,7.0,False,False,False,False
-1.0,38.0,2.0,0.153500141,3556.0,1.953488372,0.0,5.0,False,False,False,False
1.0,36.0,1.0,0.56071964,2000.0,0.181557324,1.0,7.0,False,False,False,False
1.0,41.0,2.0,0.436025621,6400.0,0.147123525,1.0,5.0,False,False,False,False
1.0,63.0,0.0,0.262773723,10000.0,0.025601772,1.0,8.0,True,True,False,False
1.0,76.0,0.0,0.002465931,7704.0,0.0,0.0,3.0,False,False,False,False
1.0,43.0,0.0,0.537485582,2600.0,0.196372799,1.0,10.0,False,False,False,False
1.0,64.0,0.0,0.588073078,2900.0,0.083945242,1.0,6.0,False,False,False,False
1.0,67.0,0.0,0.460246187,12916.0,0.034833091,2.0,9.0,False,False,False,False
1.0,52.0,1.0,0.353860086,4416.0,0.787522133,0.0,12.0,False,False,False,False
1.0,55.0,0.0,0.476704659,5000.0,0.125429152,2.0,3.0,False,False,False,False
1.0,42.0,2.0,0.578676723,5833.0,0.06037487,2.0,17.0,False,False,False,False
1.0,47.0,1.0,0.283765445,14000.0,0.295928252,2.0,6.0,False,False,False,False
-1.0,61.0,1.0,0.209961825,5500.0,0.973339258,0.0,11.0,True,True,False,False
1.0,73.0,0.0,0.000285687,10500.0,0.002856735,0.0,10.0,False,False,False,False
1.0,68.0,0.0,0.040493251,6000.0,0.9999999,0.0,0.0,False,False,False,False
1.0,41.0,0.0,0.20364404,9000.0,0.053431552,1.0,3.0,False,False,False,False
1.0,44.0,0.0,0.14041952,9200.0,0.732660667,1.0,15.0,True,True,False,False
1.0,42.0,4.0,0.458551158,6694.0,0.084220458,2.0,26.0,False,False,False,False
1.0,40.0,2.0,0.359964004,10000.0,0.114561798,2.0,20.0,False,False,False,False
1.0,78.0,0.0,0.008886914,4500.0,0.012151003,0.0,12.0,False,False,False,False
1.0,81.0,0.0,0.165566887,3333.0,0.081310737,0.0,4.0,False,False,False,False
1.0,49.0,0.0,0.257017809,6625.0,0.09811305,2.0,9.0,False,False,False,False
-1.0,58.0,0.0,0.151956584,3500.0,1.048210842,0.0,12.0,True,True,False,False
1.0,54.0,2.0,0.092913547,9750.0,0.011883886,1.0,8.0,False,False,False,False
1.0,33.0,0.0,0.058322869,7166.0,0.75264947,0.0,6.0,True,True,False,False
1.0,53.0,5.0,0.266909775,8500.0,0.112321289,1.0,9.0,False,False,False,False
1.0,23.0,0.0,0.0,1725.0,0.0,0.0,1.0,False,False,False,False
1.0,49.0,1.0,0.123125125,15000.0,0.634327056,0.0,7.0,True,True,False,False
1.0,44.0,2.0,0.278077082,4825.0,0.15576324,1.0,4.0,False,False,False,False
1.0,63.0,0.0,0.007988922,9387.0,0.0,0.0,9.0,False,False,False,False
1.0,65.0,1.0,0.125189985,12500.0,0.034645112,1.0,4.0,False,False,False,False
1.0,28.0,0.0,0.037259615,4991.0,0.412398622,0.0,5.0,False,False,False,False
1.0,66.0,0.0,1.117952819,2500.0,0.046710961,1.0,12.0,False,False,False,False
1.0,32.0,2.0,0.264078812,6800.0,0.976531824,0.0,6.0,False,False,False,False
1.0,43.0,1.0,0.009691169,208333.0,0.007982621,1.0,11.0,True,True,False,False
1.0,59.0,1.0,0.637607437,5700.0,0.267541336,2.0,13.0,False,False,False,False
1.0,76.0,0.0,0.267149259,2900.0,0.019779326,0.0,9.0,False,False,False,False
1.0,68.0,0.0,0.094140517,3600.0,0.010402205,1.0,6.0,False,False,False,False
1.0,61.0,0.0,0.529548989,1285.0,0.9999999,1.0,3.0,False,False,False,False
1.0,68.0,1.0,0.175139978,4464.0,0.029816467,1.0,12.0,False,False,False,False
1.0,57.0,1.0,0.130453416,11666.0,0.181713732,1.0,17.0,False,False,False,False
1.0,68.0,2.0,0.445277361,4668.0,0.051368557,1.0,10.0,False,False,False,False
1.0,57.0,3.0,0.205927884,26484.0,0.29264536,2.0,11.0,False,False,False,False
-1.0,46.0,0.0,0.637749121,1705.0,0.220823719,0.0,5.0,True,True,False,False
1.0,69.0,0.0,0.389895596,8332.0,0.008099838,1.0,3.0,False,False,False,False
1.0,44.0,1.0,0.326383681,6666.0,0.0,2.0,4.0,False,False,False,False
1.0,28.0,0.0,0.139429485,3750.0,0.006099797,0.0,8.0,False,False,False,False
1.0,53.0,1.0,0.595653913,7500.0,0.909538698,1.0,16.0,True,True,False,False
1.0,40.0,0.0,0.178184282,8855.0,0.941072508,1.0,9.0,False,False,False,False
1.0,36.0,1.0,0.554878049,5411.0,0.991667222,2.0,10.0,True,True,False,False
1.0,42.0,1.0,0.272721679,16250.0,0.691488418,1.0,11.0,False,False,False,False
1.0,64.0,0.0,0.307576329,2652.0,0.112855258,1.0,6.0,False,False,False,False
1.0,62.0,1.0,0.262879153,16615.0,0.048244493,1.0,11.0,False,False,False,False
1.0,47.0,0.0,0.092163472,9493.0,0.9999999,0.0,2.0,True,True,True,True
1.0,62.0,0.0,0.0,5480.0,0.9999999,0.0,3.0,False,False,False,False
1.0,49.0,3.0,0.347930414,5000.0,0.074256375,2.0,11.0,False,False,False,False
1.0,66.0,0.0,0.28446242,8900.0,0.144878408,1.0,9.0,False,False,False,False
1.0,54.0,2.0,0.705627706,5081.0,0.191001932,2.0,10.0,False,False,False,False
1.0,83.0,0.0,0.689589756,4216.0,0.679813777,2.0,6.0,False,False,False,False
1.0,45.0,2.0,0.339332853,8333.0,2340.0,2.0,7.0,False,False,False,False
1.0,29.0,3.0,0.53628857,2300.0,0.371875401,1.0,9.0,False,False,False,False
1.0,67.0,0.0,0.083799311,13054.0,0.025856408,1.0,13.0,False,False,False,False
1.0,29.0,0.0,0.24651504,2725.0,0.547887778,0.0,5.0,True,True,False,False
1.0,46.0,4.0,0.282830201,15800.0,0.271668778,2.0,14.0,True,True,False,False
1.0,25.0,0.0,1005.0,0.0,0.085152475,0.0,5.0,False,False,False,False
1.0,68.0,0.0,0.787803049,4000.0,0.897203427,2.0,8.0,False,False,False,False
1.0,33.0,1.0,0.537441339,4900.0,0.25889775,1.0,3.0,False,False,False,False
1.0,55.0,0.0,0.03988553,5590.0,0.0,0.0,8.0,True,True,False,False
1.0,46.0,3.0,0.271186441,6666.0,0.035940506,1.0,10.0,False,False,False,False
1.0,66.0,1.0,0.046633911,11600.0,0.9999999,0.0,2.0,False,False,False,False
1.0,66.0,0.0,0.391427671,3172.0,0.465238835,1.0,8.0,False,False,True,True
1.0,48.0,0.0,0.075848303,500.0,0.865423051,0.0,1.0,False,False,False,False
1.0,52.0,4.0,0.408871921,11000.0,0.696411671,1.0,11.0,False,False,False,False
1.0,32.0,0.0,0.166766647,6667.0,0.544497658,0.0,5.0,True,True,True,True
1.0,51.0,2.0,0.066830086,7750.0,0.081238383,0.0,14.0,False,False,False,False
1.0,27.0,0.0,0.144948404,4166.0,0.948762809,0.0,5.0,False,False,False,False
1.0,32.0,0.0,0.463610776,7460.0,0.0,1.0,10.0,True,True,False,False
1.0,30.0,0.0,0.136575616,1500.0,0.016598893,0.0,5.0,False,False,False,False
1.0,37.0,3.0,0.329935275,6179.0,0.063329564,1.0,6.0,False,False,False,False
1.0,49.0,1.0,0.042836573,8333.0,0.093638481,0.0,10.0,False,False,False,False
1.0,37.0,5.0,0.184027338,7900.0,0.0,1.0,5.0,False,False,False,False
1.0,36.0,0.0,0.632794037,5500.0,0.730271957,2.0,10.0,True,True,False,False
1.0,62.0,0.0,0.406053995,3666.0,0.426371142,1.0,15.0,True,True,False,False
1.0,57.0,1.0,0.043744532,8000.0,0.948978489,0.0,3.0,False,False,False,False
1.0,59.0,1.0,0.0,4200.0,0.0,0.0,7.0,False,False,False,False
1.0,38.0,4.0,0.472542946,3550.0,1.00264667,0.0,8.0,True,True,True,True
1.0,37.0,0.0,0.288477299,6100.0,0.022890604,1.0,16.0,False,False,False,False
1.0,63.0,0.0,0.750200803,1244.0,0.283821988,0.0,9.0,False,False,False,False
1.0,32.0,0.0,1.247340213,12500.0,0.319779462,8.0,12.0,False,False,False,False
1.0,52.0,1.0,0.483518065,6946.0,0.155240525,2.0,15.0,False,False,False,False
1.0,43.0,2.0,4211.0,0.0,0.013115183,2.0,21.0,False,False,False,False
1.0,29.0,0.0,0.168340507,2090.0,0.067259209,0.0,3.0,True,True,False,False
1.0,45.0,2.0,0.318890815,7500.0,0.284236153,1.0,9.0,True,True,False,False
1.0,38.0,1.0,0.712458746,2423.0,0.727560021,1.0,6.0,False,False,False,False
1.0,62.0,0.0,0.249471161,7090.0,0.687779097,0.0,15.0,False,False,False,False
1.0,41.0,2.0,0.408706353,6500.0,0.033708851,1.0,9.0,False,False,False,False
1.0,29.0,0.0,0.193935355,3000.0,0.0,0.0,7.0,False,False,False,False
-1.0,47.0,3.0,0.03975841,25000.0,0.03719769,1.0,11.0,False,False,False,False
1.0,55.0,1.0,0.388320836,4400.0,0.0,2.0,4.0,True,True,False,False
1.0,87.0,0.0,0.001534331,5213.0,0.053589282,0.0,4.0,False,False,False,False
1.0,41.0,0.0,0.199761673,9230.0,0.100773109,1.0,7.0,False,False,False,False
1.0,61.0,0.0,1.394967177,913.0,0.0,2.0,11.0,False,False,False,False
1.0,28.0,1.0,0.189702574,4000.0,0.399946674,0.0,6.0,False,False,False,False
1.0,43.0,4.0,0.572292191,1984.0,0.052653171,0.0,9.0,False,False,False,False
1.0,71.0,1.0,0.426412462,4300.0,0.072318616,2.0,8.0,False,False,False,False
1.0,46.0,2.0,0.072914726,16100.0,0.203959597,1.0,6.0,False,False,False,False
1.0,30.0,0.0,0.090341011,5600.0,0.9999999,0.0,1.0,False,False,False,False
-1.0,43.0,1.0,0.461323764,7523.0,0.880370887,1.0,6.0,False,False,False,False
1.0,59.0,1.0,0.381254316,15928.0,0.429246267,1.0,17.0,False,False,False,False
1.0,72.0,0.0,0.356679286,3697.0,0.360907571,1.0,6.0,False,False,False,False
1.0,50.0,1.0,0.45722203,5773.0,0.335737457,1.0,9.0,False,False,False,False
-1.0,68.0,0.0,0.218071277,25000.0,0.635720859,3.0,27.0,True,True,False,False
1.0,69.0,0.0,0.193935355,3000.0,0.507972665,0.0,10.0,True,True,True,True
